time,open,high,low,close,Volume,K,D
2018-03-21,8904.02,9188.1,8754.83,8893.79,12100.99713332,82.0967713035263,52.433191983447024
2018-03-22,8892.18,9099.59,8503.52,8704.67,12587.63392229,94.42568431737709,76.93017487032581
2018-03-23,8708.52,8920.79,8265,8920.79,13749.78486097,94.42568431737709,90.31604664609348
2018-03-24,8917.99,9020,8505,8547,9731.98236841,84.89225610223971,91.24787491233128
2018-03-25,8541.96,8680,8368.63,8453.9,9155.91214778,78.02802823357472,85.78198955106383
2018-03-26,8451.12,8500,7831.15,8149.66,17693.4153393,58.20049513919796,73.70692649167079
2018-03-27,8152.26,8211.62,7742.11,7791.7,12385.25028422,39.81873346569581,58.682418946156155
2018-03-28,7791.69,8104.98,7723.03,7932.41,8437.64467971,29.37366696336673,42.464298522753495
2018-03-29,7932.41,7968,6914.53,7088.38,22138.11413228,15.867866724410149,28.353422384490898
2018-03-30,7086.14,7302.35,6550,6850,29101.44802706,10.713729317422633,18.651754335066503
2018-03-31,6839.63,7231.73,6794.26,6928.62,11579.59705718,2.451478196504304,9.677691412779028
2018-04-01,6926.5,7045.71,6427.16,6813.52,18046.94087395,3.2122766830436156,5.459161398990182
2018-04-02,6816.31,7106.5,6759.96,7052.76,13624.16035566,11.884074640995644,5.849276506847853
2018-04-03,7052.75,7506.84,7001.28,7416.27,16089.54162903,29.30487577047951,14.800409031506254
2018-04-04,7415.53,7430,6710.38,6799.95,15779.20246661,37.62120889760316,26.2700531030261
2018-04-05,6799.37,6928.7,6578.95,6771.69,11894.53597807,37.56710828670919,34.83106431826395
2018-04-06,6771.3,6850,6510,6618.33,8478.41806897,25.43645224128572,33.54158980853269
2018-04-07,6627.7,7069.13,6600.99,6904.9,7683.0416526,37.52751573319087,33.51035875372859
2018-04-08,6904.21,7104.52,6894.8,7027.26,4352.69794202,61.28508524586933,41.41635107344864
2018-04-09,7027.26,7175.83,6611.49,6780.1,10103.91621615,77.45492755576797,58.75584284494272
2018-04-10,6782.39,6900,6653.21,6835.67,6480.19276418,83.40019554431932,74.04673611531886
2018-04-11,6824.75,6984.92,6809.26,6940.94,5825.41064556,84.35826201791612,81.73779503933447
2018-04-12,6940.94,8069.34,6758.45,7923.78,19033.3803344,93.78012976078611,87.17952910767384
2018-04-13,7923.78,8239.33,7753.32,7896.92,19605.94275077,99.48289371674498,92.54042849848241
2018-04-14,7885.9,8232.14,7835,8000.41,8935.53071477,99.48289371674498,97.58197239809203
2018-04-15,8003.39,8417,8001.23,8354.22,7542.84081564,99.48289371674498,99.48289371674498
