time,open,high,low,close,Volume,K,D
2015-03-03,18281.95,18281.95,18136.88,18203.37,NaN,68.95056239741662,79.29628017787472
2015-03-04,18203.37,18203.37,18029.5,18096.9,NaN,49.603074054281954,67.67425850660076
2015-03-05,18096.9,18160.35,18087.65,18135.72,NaN,21.33253133576188,46.62872259582013
2015-03-06,18135.72,18135.72,17825.15,17856.78,NaN,5.062790614813271,25.33279866828568
2015-03-09,17856.56,18031.04,17856.56,17995.72,NaN,14.158692024679794,13.518004658418315
2015-03-10,17989.56,17989.56,17662.94,17662.94,NaN,9.095901409866526,9.439128016453196
2015-03-11,17662.94,17731.78,17627,17635.39,NaN,9.095901409866526,10.78349828147095
2015-03-12,17626.84,17900.1,17620.49,17895.22,NaN,12.202143111596001,10.131315310443018
2015-03-13,17889.05,17889.05,17629.89,17749.31,NaN,18.806326465278,13.368123662246843
2015-03-16,17751.24,17988.5,17751.24,17977.42,NaN,34.659883440450756,21.88945100577492
2015-03-17,17972.22,17972.22,17785.79,17849.08,NaN,33.38045950108579,28.948889802271513
2015-03-18,17846.8,18097.12,17697.52,18076.19,NaN,46.01872436963675,38.01968910372443
2015-03-19,18072.58,18072.99,17934.24,17959.03,NaN,44.859053043398575,41.41941230470704
2015-03-20,17961.13,18197.29,17961.13,18127.65,NaN,58.77045829914416,49.88274523739316
2015-03-23,18136.73,18205.93,18116.04,18116.04,NaN,68.88118387041244,57.503565070985054
2015-03-24,18110.87,18149.24,18010.44,18011.14,NaN,77.08998080598812,68.24720765851491
2015-03-25,18012.61,18041.97,17718.54,17718.54,NaN,60.37526144837812,68.78214204159289
2015-03-26,17716.27,17759.51,17579.27,17678.23,NaN,37.001721399115176,58.155654551160474
2015-03-27,17673.63,17729.14,17630.49,17712.66,NaN,22.574127060711458,39.983703302734924
2015-03-30,17727.48,18008.64,17727.48,17976.31,NaN,40.34729771093393,33.30771539025352
2015-03-31,17965.37,17965.37,17773.02,17776.12,NaN,44.14166417819664,35.68769631661401
2015-04-01,17778.52,17778.52,17585.01,17698.18,NaN,40.1980303727629,41.56233075396449
2015-04-02,17699.52,17815.03,17673.49,17763.24,NaN,24.2302631456393,36.189985898866276
2015-04-06,17755.5,17941.79,17646.8,17880.85,NaN,33.86269429704288,32.76366260514836
2015-04-07,17884.32,17983.12,17871.21,17875.42,NaN,48.296448876943394,35.46313543987519
2015-04-08,17877.62,17976.2,17822.23,17902.51,NaN,59.66774344523652,47.27562887307426
2015-04-09,17897.7,17984.22,17823.1,17958.73,NaN,66.49441889689821,58.152870406359376
2015-04-10,17956.73,18066.76,17945.55,18057.65,NaN,80.86254320965823,69.00823518393098
2015-04-13,18052.32,18107.57,17974.81,17977.04,NaN,85.00568696839966,77.4542163583187
2015-04-14,17979.11,18075.6,17905.48,18036.7,NaN,89.35713214309045,85.07512077371611
2015-04-15,18045.71,18160.52,18045.71,18112.61,NaN,89.35713214309045,87.90665041819352
2015-04-16,18106.27,18169.26,18063.86,18105.77,NaN,96.49297348382771,91.73574592333621
2015-04-17,18102.56,18102.56,17748.53,17826.3,NaN,70.15003409622523,85.33337990771447
2015-04-20,17841.18,18092.22,17841.18,18034.93,NaN,59.86113857611563,75.5013820520562
2015-04-21,18034.23,18109.7,17929.63,17949.59,NaN,42.571351278846855,57.52750798372926
2015-04-22,17950.82,18056.02,17887.76,18038.27,NaN,59.75199423482676,54.061494696596434
2015-04-23,18031.9,18133.03,17966.77,18058.69,NaN,60.15290439938201,54.15874997101856
2015-04-24,18056.42,18108.87,18009.08,18080.14,NaN,70.53516907387785,63.48002256936223
2015-04-27,18097.89,18175.56,18024.66,18037.97,NaN,69.40800016594578,66.69869121306856
