time,open,high,low,close,Volume,K,D
2015-04-29,2.01,2.08,1.9822,2.0334,NaN,85.72448821455644,69.24167866256674
2015-04-30,2.04,2.11,2.0211,2.03,NaN,99.1675184114978,83.4702572490122
2015-05-01,2.03,2.12,2.03,2.12,NaN,99.1675184114978,94.68650834585067
2015-05-04,2.1153,2.15,2.09,2.1458,NaN,99.1675184114978,99.16751841149778
2015-05-05,2.15,2.2,2.12,2.18,NaN,100,99.44501227433186
2015-05-06,2.18,2.431,2.1799,2.25,NaN,100.00000000000001,99.72250613716595
2015-05-07,2.24,2.5,2.17,2.18,NaN,89.72401867415995,96.57467289138667
2015-05-08,2.18,2.2106,2.1,2.14,NaN,72.84276702034755,87.52226189816918
2015-05-11,2.1424,2.29,2.1,2.28,NaN,66.37106897633777,76.31261822361509
2015-05-12,2.28,2.35,2.24,2.24,NaN,65.00349153544394,68.07244251070975
2015-05-13,2.2598,2.3,2.2,2.29,NaN,73.60122841643218,68.3252629760713
2015-05-14,2.28,2.28,2.23,2.2495,NaN,65.37842261907629,67.99438085698414
2015-05-15,2.23,2.2495,2.13,2.15,NaN,43.68864805247684,60.88943302932844
2015-05-18,1.9139,2.24,1.9139,2.23,NaN,27.11033493624893,45.39246853593401
2015-05-19,2.24,2.3,2.2,2.29,NaN,22.56134468727197,31.120109225332573
2015-05-20,2.29,2.29,2.23,2.26,NaN,32.23395067924729,27.30187676758939
2015-05-21,2.25,2.2691,2.18,2.19,NaN,23.793093314829004,26.196129560449418
2015-05-22,2.19,2.23,2.17,2.22,NaN,13.005816023610373,23.010953339228887
2015-05-25,2.2145,2.2145,2.2145,2.2145,NaN,5.852363140207028,14.217090826215461
2015-05-26,2.2145,2.2145,2.13,2.14,NaN,5.821715060344054,8.22663140805381
2015-05-27,2.14,2.17,2.13,2.14,NaN,2.519153108571976,4.731077103041012
2015-05-28,2.14,2.1512,2.12,2.14,NaN,1.2358800841578473e-14,2.7802893896386736
2015-05-29,2.1337,2.14,2.09,2.12,NaN,1.2479075002579533e-14,0.8397177028573264
2015-06-01,2.1232,2.2,2.11,2.18,NaN,9.121947035598485,3.04064901186617
2015-06-02,2.18,2.28,2.1776,2.266,NaN,34.74911789662497,14.623688310741157
2015-06-03,2.26,2.39,2.26,2.36,NaN,68.08245122995831,37.31783872072725
